market_id,last_price,ma_7d,price_trend_7d,vol_7d,vol_30d,age_days,time_to_resolution_days,category,y
700726,0.9995,,,,,1.0,3.0,,1
696910,0.9995,,,,,4.0,3.0,,1
698678,0.0005,,,,,3.0,3.0,,1
696933,0.0005,,,,,4.0,3.0,,1
696916,0.0005,,,,,4.0,3.0,,1
696905,0.0005,,,,,4.0,3.0,,1
696921,0.0005,,,,,4.0,3.0,,1
659926,0.9995,,,,,24.0,3.0,,1
696925,0.9995,,,,,4.0,3.0,,1
696902,0.9995,,,,,4.0,3.0,,1
696896,0.0005,,,,,4.0,3.0,,1
684991,0.9995,,,,,10.0,3.0,,1
696939,0.9995,,,,,4.0,3.0,,1
659919,0.0005,,,,,24.0,3.0,,1
659914,0.9995,,,,,24.0,3.0,,1
684983,0.9995,,,,,10.0,3.0,,1
698681,0.9995,,,,,2.0,3.0,,1
659913,0.9995,,,,,24.0,3.0,,1
698687,0.9995,,,,,2.0,3.0,,1
698708,0.9995,,,,,3.0,3.0,,1
698676,0.9995,,,,,3.0,3.0,,1
708812,0.9995,,,,,-1.0,3.0,,1
659918,0.0005,,,,,24.0,3.0,,1
721555,0.0005,,,,,-2.0,3.0,,1
709924,0.0005,,,,,-1.0,3.0,,1
699208,0.9995,,,,,3.0,3.0,,1
698684,0.9995,,,,,2.0,3.0,,1
700862,0.0005,,,,,1.0,3.0,,1
696929,0.0005,,,,,4.0,3.0,,1
698682,0.9995,,,,,2.0,3.0,,1
685218,0.9995,,,,,10.0,3.0,,1
698694,0.9995,,,,,2.0,3.0,,1
721553,0.0005,,,,,-2.0,3.0,,1
699130,0.0005,,,,,3.0,3.0,,1
659923,0.0005,,,,,24.0,3.0,,1
698672,0.9995,,,,,2.0,3.0,,1
736286,0.9995,,,,,-2.0,3.0,,1
716390,0.9995,,,,,-1.0,3.0,,1
697291,0.0005,,,,,4.0,3.0,,1
512682,1.0,,,,,7.0,3.0,,1
659927,0.0005,,,,,24.0,3.0,,1
721551,0.0005,,,,,-2.0,3.0,,1
698690,0.9995,,,,,3.0,3.0,,1
659921,0.9995,,,,,24.0,3.0,,1
698693,0.0005,,,,,2.0,3.0,,1
705813,0.0005,,,,,-1.0,3.0,,1
699214,0.0005,,,,,2.0,3.0,,1
683630,0.0005,,,,,10.0,3.0,,1
697288,0.9995,,,,,4.0,3.0,,1
697289,0.0005,,,,,4.0,3.0,,1
512683,0.999,,,,,7.0,3.0,,1
721559,0.0005,,,,,-2.0,3.0,,1
696913,0.0005,,,,,4.0,3.0,,1
713315,0.0005,,,,,-1.0,3.0,,1
688604,0.9995,,,,,7.0,3.0,,1
721557,0.9995,,,,,-2.0,3.0,,1
698673,0.996,,,,,2.0,3.0,,1
659920,0.0005,,,,,24.0,3.0,,1
512681,1.0,,,,,6.0,3.0,,1
659916,0.9995,,,,,24.0,3.0,,1
721554,0.0005,,,,,-2.0,3.0,,1
699308,0.0005,,,,,2.0,3.0,,1
684975,0.9995,,,,,10.0,3.0,,1
659915,0.0005,,,,,24.0,3.0,,1
706035,0.0005,,,,,-1.0,3.0,,1
697030,0.9995,,,,,4.0,3.0,,1
705814,0.0005,,,,,-1.0,3.0,,1
684999,0.0005,,,,,10.0,3.0,,1
659924,0.0005,,,,,24.0,3.0,,1
723898,0.9995,,,,,-2.0,3.0,,1
698737,0.9995,,,,,3.0,3.0,,1
721556,0.9995,,,,,-2.0,3.0,,1
683624,0.9995,,,,,10.0,3.0,,1
721558,0.0005,,,,,-2.0,3.0,,1
697287,0.9995,,,,,4.0,3.0,,1
711678,0.0005,,,,,-1.0,3.0,,1
705992,0.9995,,,,,-1.0,3.0,,1
716416,0.0005,,,,,-1.0,3.0,,1
727825,0.495,,,,,-2.0,3.0,,1
697026,0.9995,,,,,3.0,3.0,,1
727830,0.94,,,,,-2.0,3.0,,1
698756,0.0005,,,,,3.0,3.0,,1
698700,0.0005,,,,,2.0,3.0,,1
708800,0.0005,,,,,-1.0,3.0,,1
727500,0.495,,,,,-2.0,3.0,,1
728676,0.505,,,,,-2.0,3.0,,1
646709,0.0005,,,,,432.0,3.0,,1
698686,0.0005,,,,,2.0,3.0,,1
711260,0.0005,,,,,-1.0,3.0,,1
716912,0.495,,,,,-2.0,3.0,,1
733157,0.0005,,,,,-2.0,3.0,,1
728679,0.005,,,,,-2.0,3.0,,1
732200,0.0005,,,,,-2.0,3.0,,1
695373,0.0005,,,,,4.0,3.0,,1
684963,0.0035,,,,,10.0,3.0,,1
712076,0.9995,,,,,-1.0,3.0,,1
659922,0.9995,,,,,24.0,3.0,,1
688605,0.0005,,,,,7.0,3.0,,1
683626,0.9995,,,,,10.0,3.0,,1
684957,0.175,,,,,10.0,3.0,,1
697255,0.9995,,,,,4.0,3.0,,1
727855,0.505,,,,,-2.0,3.0,,1
713474,0.0005,,,,,-2.0,3.0,,1
728293,0.505,,,,,-2.0,3.0,,1
684953,0.9695,,,,,10.0,3.0,,1
706225,0.9995,,,,,-1.0,3.0,,1
726266,0.525,,,,,-2.0,3.0,,1
698759,0.9995,,,,,3.0,3.0,,1
699215,0.0045,,,,,2.0,3.0,,1
659925,0.9995,,,,,24.0,3.0,,1
705734,0.0005,,,,,-1.0,3.0,,1
714139,0.0005,,,,,-1.0,3.0,,1
716366,0.505,,,,,-2.0,3.0,,1
684959,0.9995,,,,,10.0,3.0,,1
697021,0.9995,,,,,3.0,3.0,,1
692553,0.9995,,,,,69.0,3.0,,1
729128,0.505,,,,,-2.0,3.0,,1
712914,0.0005,,,,,-1.0,3.0,,1
698679,0.0005,,,,,3.0,3.0,,1
709896,0.0005,,,,,-1.0,3.0,,1
697033,0.9995,,,,,4.0,3.0,,1
697285,0.9995,,,,,4.0,3.0,,1
698702,0.9995,,,,,2.0,3.0,,1
710406,0.0005,,,,,-1.0,3.0,,1
728686,0.495,,,,,-2.0,3.0,,1
709364,0.0005,,,,,-1.0,3.0,,1
696459,0.9995,,,,,11.0,3.0,,1
712518,0.9995,,,,,-1.0,3.0,,1
701310,0.0005,,,,,34.0,3.0,,1
727824,0.495,,,,,-2.0,3.0,,1
698773,0.0005,,,,,3.0,3.0,,1
668938,0.9995,,,,,19.0,3.0,,1
710829,0.9995,,,,,-1.0,3.0,,1
731197,0.495,,,,,-2.0,3.0,,1
697043,0.9995,,,,,4.0,3.0,,1
733058,0.9995,,,,,-2.0,3.0,,1
685209,0.0005,,,,,10.0,3.0,,1
684984,0.9995,,,,,10.0,3.0,,1
727492,0.505,,,,,-2.0,3.0,,1
662349,0.0005,,,,,23.0,3.0,,1
727852,0.495,,,,,-2.0,3.0,,1
659917,0.9995,,,,,24.0,3.0,,1
722256,0.995,,,,,-2.0,3.0,,1
718189,0.0005,,,,,-1.0,3.0,,1
710415,0.0005,,,,,-1.0,3.0,,1
713740,0.9995,,,,,-1.0,3.0,,1
697036,0.9995,,,,,4.0,3.0,,1
683619,0.9995,,,,,10.0,3.0,,1
684968,0.997,,,,,10.0,3.0,,1
699318,0.9995,,,,,3.0,3.0,,1
706281,0.0005,,,,,-1.0,3.0,,1
684960,0.9995,,,,,10.0,3.0,,1
705841,0.9995,,,,,-1.0,3.0,,1
706226,0.9995,,,,,-1.0,3.0,,1
699987,0.9995,,,,,2.0,3.0,,1
727828,0.995,,,,,-2.0,3.0,,1
698798,0.0005,,,,,3.0,3.0,,0
697275,0.9995,,,,,4.0,3.0,,1
734128,0.49,,,,,-2.0,3.0,,1
662216,0.9995,,,,,23.0,3.0,,1
697301,0.0005,,,,,4.0,3.0,,1
699317,0.0005,,,,,3.0,3.0,,1
698697,0.9995,,,,,2.0,3.0,,1
684987,0.0015,,,,,10.0,3.0,,1
715351,0.9995,,,,,-1.0,3.0,,1
684967,0.0045,,,,,10.0,3.0,,1
728292,0.495,,,,,-2.0,3.0,,1
711245,0.0005,,,,,-1.0,3.0,,1
698738,0.0035,,,,,3.0,3.0,,1
698675,0.9995,,,,,3.0,3.0,,1
698800,0.9995,,,,,3.0,3.0,,1
695375,0.0005,,,,,4.0,3.0,,1
683620,0.0005,,,,,10.0,3.0,,1
697286,0.9995,,,,,4.0,3.0,,1
714951,0.0005,,,,,-1.0,3.0,,1
712078,0.9995,,,,,-1.0,3.0,,1
642533,0.9995,,,,,7.0,3.0,,1
721568,0.0005,,,,,-2.0,3.0,,1
697053,0.0005,,,,,4.0,3.0,,1
707159,0.9995,,,,,-1.0,3.0,,1
698794,0.9995,,,,,3.0,3.0,,1
718081,0.995,,,,,-2.0,3.0,,1
730813,0.505,,,,,-2.0,3.0,,1
735576,0.0005,,,,,-3.0,3.0,,1
697290,0.0005,,,,,4.0,3.0,,1
697284,0.9995,,,,,4.0,3.0,,1
708803,0.9995,,,,,-1.0,3.0,,1
697254,0.0005,,,,,4.0,3.0,,1
733091,0.9995,,,,,-2.0,3.0,,1
711679,0.0005,,,,,-1.0,3.0,,1
696953,0.9995,,,,,4.0,3.0,,1
716927,0.995,,,,,-2.0,3.0,,1
716376,0.005,,,,,-2.0,3.0,,1
736321,0.9995,,,,,-2.0,3.0,,1
706228,0.9995,,,,,-1.0,3.0,,1
683752,0.9995,,,,,10.0,3.0,,1
715088,0.9995,,,,,-2.0,3.0,,1
662352,0.1605,,,,,23.0,3.0,,1
685090,0.996,,,,,10.0,3.0,,1
706227,0.9995,,,,,-1.0,3.0,,1
728673,0.495,,,,,-2.0,3.0,,1
685220,0.0005,,,,,10.0,3.0,,1
716639,0.505,,,,,-2.0,3.0,,1
698768,0.9995,,,,,3.0,3.0,,1
736323,0.9995,,,,,-2.0,3.0,,1
697257,0.0005,,,,,4.0,3.0,,1
731268,0.495,,,,,-2.0,3.0,,1
698683,0.004,,,,,2.0,3.0,,1
685135,0.9995,,,,,10.0,3.0,,1
737786,0.9995,,,,,-2.0,3.0,,1
729537,0.52,,,,,-2.0,3.0,,1
512680,1.0,,,,,6.0,3.0,,1
697046,0.9995,,,,,4.0,3.0,,1
708058,0.0005,,,,,0.0,3.0,,1
684966,0.0005,,,,,10.0,3.0,,1
685111,0.9995,,,,,10.0,3.0,,1
712077,0.0005,,,,,-1.0,3.0,,1
685110,0.0005,,,,,10.0,3.0,,1
696938,0.0005,,,,,3.0,3.0,,1
700863,0.0005,,,,,1.0,3.0,,1
720067,0.0005,,,,,-1.0,3.0,,1
709904,0.0005,,,,,-1.0,3.0,,1
698696,0.0005,,,,,2.0,3.0,,1
718634,0.505,,,,,-2.0,3.0,,1
731271,0.0005,,,,,-2.0,3.0,,1
715352,0.9995,,,,,-1.0,3.0,,1
713316,0.0005,,,,,-1.0,3.0,,1
714142,0.9995,,,,,-1.0,3.0,,1
697017,0.9995,,,,,3.0,3.0,,1
733621,0.505,,,,,-2.0,3.0,,1
698730,0.9995,,,,,3.0,3.0,,1
668958,0.5005,,,,,19.0,3.0,,1
705994,0.9965,,,,,-1.0,3.0,,1
684985,0.0005,,,,,10.0,3.0,,1
698761,0.9995,,,,,3.0,3.0,,1
708078,0.0005,,,,,0.0,3.0,,1
618024,0.0005,,,,,455.0,3.0,,1
728685,0.555,,,,,-2.0,3.0,,1
713462,0.9995,,,,,-2.0,3.0,,1
722255,0.995,,,,,-2.0,3.0,,1
706102,0.9995,,,,,-1.0,3.0,,1
712519,0.9995,,,,,-1.0,3.0,,1
698786,0.9995,,,,,3.0,3.0,,1
668940,0.0005,,,,,19.0,3.0,,1
715941,0.0005,,,,,-1.0,3.0,,1
729505,0.505,,,,,-2.0,3.0,,1
729508,0.005,,,,,-2.0,3.0,,1
695371,0.9995,,,,,4.0,3.0,,1
705993,0.9995,,,,,-1.0,3.0,,1
698760,0.0005,,,,,3.0,3.0,,1
715943,0.0005,,,,,-1.0,3.0,,1
721959,0.505,,,,,-2.0,3.0,,1
701699,0.9995,,,,,1.0,3.0,,1
729534,0.57,,,,,-2.0,3.0,,1
697056,0.9995,,,,,4.0,3.0,,1
668942,0.9995,,,,,19.0,3.0,,1
727868,0.0005,,,,,-2.0,3.0,,1
684972,0.0005,,,,,10.0,3.0,,1
708802,0.9995,,,,,-1.0,3.0,,1
662351,0.9995,,,,,23.0,3.0,,1
659436,0.0005,,,,,24.0,3.0,,1
722230,0.505,,,,,-2.0,3.0,,1
729121,0.5,,,,,-2.0,3.0,,1
697044,0.0005,,,,,3.0,3.0,,1
729994,0.505,,,,,-2.0,3.0,,1
721567,0.505,,,,,-2.0,3.0,,1
722228,0.495,,,,,-2.0,3.0,,1
705691,0.0005,,,,,-1.0,3.0,,1
732639,0.505,,,,,-2.0,3.0,,1
718108,0.9995,,,,,-1.0,3.0,,1
697307,0.9995,,,,,4.0,3.0,,1
710407,0.0005,,,,,-1.0,3.0,,1
724694,0.995,,,,,-2.0,3.0,,1
739020,0.0005,,,,,-2.0,3.0,,1
712920,0.0005,,,,,-1.0,3.0,,1
685210,0.9995,,,,,10.0,3.0,,1
695374,0.0005,,,,,4.0,3.0,,1
698799,0.9995,,,,,3.0,3.0,,1
697273,0.0005,,,,,4.0,3.0,,1
707160,0.9995,,,,,-1.0,3.0,,1
697300,0.0005,,,,,4.0,3.0,,1
668934,0.9995,,,,,19.0,3.0,,1
688787,0.9995,,,,,8.0,3.0,,1
666957,0.9995,,,,,21.0,3.0,,1
697039,0.9995,,,,,4.0,3.0,,1
719018,0.495,,,,,-2.0,3.0,,1
715547,0.0005,,,,,-1.0,3.0,,1
721509,0.505,,,,,-2.0,3.0,,1
684979,0.0005,,,,,10.0,3.0,,1
698691,0.9995,,,,,3.0,3.0,,1
719981,0.495,,,,,-2.0,3.0,,1
668944,0.4995,,,,,19.0,3.0,,1
689024,0.9995,,,,,8.0,3.0,,1
728677,0.005,,,,,-2.0,3.0,,1
668964,0.7015,,,,,19.0,3.0,,1
697274,0.0005,,,,,4.0,3.0,,1
